ticket_id,customer_message,category_gold,subcategory_gold,priority_gold,sentiment_gold,human_review_gold,label_note,dataset_subset,source_type,label_status,label_version
GOLD-0001,아직 발송이 안 됐어요,배송,출고 지연,normal,negative,false,배송 > 출고 지연 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0002,아직 발송이 안 됐어요 확인 부탁드립니다,배송,출고 지연,normal,negative,false,배송 > 출고 지연 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0003,문의드립니다 아직 발송이 안 됐어요,배송,출고 지연,normal,negative,false,배송 > 출고 지연 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0004,방금 확인했는데 아직 발송이 안 됐어요,배송,출고 지연,normal,negative,false,배송 > 출고 지연 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0005,아직 발송이 안 됐어요 어떻게 처리하면 될까요,배송,출고 지연,normal,negative,false,배송 > 출고 지연 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0006,택배가 며칠째 움직이지 않아요,배송,배송 지연,normal,negative,false,배송 > 배송 지연 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0007,택배가 며칠째 움직이지 않아요 확인 부탁드립니다,배송,배송 지연,normal,negative,false,배송 > 배송 지연 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0008,문의드립니다 택배가 며칠째 움직이지 않아요,배송,배송 지연,normal,negative,false,배송 > 배송 지연 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0009,방금 확인했는데 택배가 며칠째 움직이지 않아요,배송,배송 지연,normal,negative,false,배송 > 배송 지연 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0010,택배가 며칠째 움직이지 않아요 어떻게 처리하면 될까요,배송,배송 지연,normal,negative,false,배송 > 배송 지연 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0011,배송 완료라고 나오는데 상품을 받지 못했어요,배송,배송완료 미수령,high,negative,true,배송 > 배송완료 미수령 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0012,배송 완료라고 나오는데 상품을 받지 못했어요 확인 부탁드립니다,배송,배송완료 미수령,high,negative,true,배송 > 배송완료 미수령 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0013,문의드립니다 배송 완료라고 나오는데 상품을 받지 못했어요,배송,배송완료 미수령,high,negative,true,배송 > 배송완료 미수령 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0014,방금 확인했는데 배송 완료라고 나오는데 상품을 받지 못했어요,배송,배송완료 미수령,high,negative,true,배송 > 배송완료 미수령 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0015,배송 완료라고 나오는데 상품을 받지 못했어요 어떻게 처리하면 될까요,배송,배송완료 미수령,high,negative,true,배송 > 배송완료 미수령 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0016,송장 조회가 안 돼요,배송,배송 조회,low,neutral,false,배송 > 배송 조회 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0017,송장 조회가 안 돼요 확인 부탁드립니다,배송,배송 조회,low,neutral,false,배송 > 배송 조회 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0018,문의드립니다 송장 조회가 안 돼요,배송,배송 조회,low,neutral,false,배송 > 배송 조회 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0019,방금 확인했는데 송장 조회가 안 돼요,배송,배송 조회,low,neutral,false,배송 > 배송 조회 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0020,송장 조회가 안 돼요 어떻게 처리하면 될까요,배송,배송 조회,low,neutral,false,배송 > 배송 조회 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0021,배송지를 바꾸고 싶어요,배송,배송지 변경,normal,neutral,false,배송 > 배송지 변경 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0022,배송지를 바꾸고 싶어요 확인 부탁드립니다,배송,배송지 변경,normal,neutral,false,배송 > 배송지 변경 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0023,문의드립니다 배송지를 바꾸고 싶어요,배송,배송지 변경,normal,neutral,false,배송 > 배송지 변경 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0024,방금 확인했는데 배송지를 바꾸고 싶어요,배송,배송지 변경,normal,neutral,false,배송 > 배송지 변경 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0025,배송지를 바꾸고 싶어요 어떻게 처리하면 될까요,배송,배송지 변경,normal,neutral,false,배송 > 배송지 변경 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0026,택배가 배송 중에 분실된 것 같아요,배송,배송 중 분실,high,negative,true,배송 > 배송 중 분실 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0027,택배가 배송 중에 분실된 것 같아요 확인 부탁드립니다,배송,배송 중 분실,high,negative,true,배송 > 배송 중 분실 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0028,문의드립니다 택배가 배송 중에 분실된 것 같아요,배송,배송 중 분실,high,negative,true,배송 > 배송 중 분실 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0029,방금 확인했는데 택배가 배송 중에 분실된 것 같아요,배송,배송 중 분실,high,negative,true,배송 > 배송 중 분실 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0030,택배가 배송 중에 분실된 것 같아요 어떻게 처리하면 될까요,배송,배송 중 분실,high,negative,true,배송 > 배송 중 분실 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0031,카드 결제가 계속 실패해요,주문/결제,결제 실패,normal,negative,false,주문/결제 > 결제 실패 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0032,카드 결제가 계속 실패해요 확인 부탁드립니다,주문/결제,결제 실패,normal,negative,false,주문/결제 > 결제 실패 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0033,문의드립니다 카드 결제가 계속 실패해요,주문/결제,결제 실패,normal,negative,false,주문/결제 > 결제 실패 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0034,방금 확인했는데 카드 결제가 계속 실패해요,주문/결제,결제 실패,normal,negative,false,주문/결제 > 결제 실패 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
